seed,elapsed_time,from_state,to_state,pos_xyz,target_xyz,discovered_xyz,attack_retry_started_at
3,0.073,VISUAL_ATTACK,VISUAL_POST_CHECK,2.6396 0.5991 9.4599,2.6946 0.6524 9.4462,2.6946 0.6524 9.4462,0.035
3,0.079,VISUAL_POST_CHECK,VISUAL_CHECK_MIC,2.6396 0.5991 8.9912,2.6396 0.5991 8.9599,2.6946 0.6524 9.4462,0.035
3,0.081,VISUAL_CHECK_MIC,SURFACE,2.6396 0.5991 8.9912,,2.6946 0.6524 9.4462,0.035
3,0.092,SURFACE,RETURN_HOME,2.6396 0.5991 5.0224,2.6396 0.5991 4.9912,2.6946 0.6524 9.4462,0.035
3,0.094,RETURN_HOME,DONE,2.6396 0.5991 5.0224,,2.6946 0.6524 9.4462,0.035
4,0,,INIT,,,,
4,0.02,INIT,DESCEND_TO_7M,,,,
4,0.032,DESCEND_TO_7M,SEARCH_HYDROPHONE,0.0000 0.0000 6.9746,0.0000 0.0000 7.0000,,
4,0.034,SEARCH_HYDROPHONE,VISUAL_DIVE,0.0000 0.0000 6.9746,,-2.4703 -1.5699 11.0283,0.034
4,0.042,VISUAL_DIVE,VISUAL_CHECK_MIC,0.0000 0.0000 9.4355,0.0000 0.0000 9.4746,-2.4703 -1.5699 11.0283,0.034
4,0.044,VISUAL_CHECK_MIC,VISUAL_DETECT,0.0000 0.0000 9.4355,,-2.4703 -1.5699 11.0283,0.034
4,0.047,VISUAL_DETECT,VISUAL_ATTACK,0.0000 0.0000 9.4355,,0.6471 0.0407 9.1560,0.034
4,0.051,VISUAL_ATTACK,VISUAL_POST_CHECK,0.5662 0.0356 9.1910,0.6471 0.0407 9.1560,0.6471 0.0407 9.1560,0.034
4,0.058,VISUAL_POST_CHECK,VISUAL_CHECK_MIC,0.5662 0.0356 8.7222,0.5662 0.0356 8.6910,0.6471 0.0407 9.1560,0.034
4,0.06,VISUAL_CHECK_MIC,VISUAL_DETECT,0.5662 0.0356 8.7222,,0.6471 0.0407 9.1560,0.034
4,0.062,VISUAL_DETECT,VISUAL_ATTACK,0.5662 0.0356 8.7222,,3.1334 -0.4410 9.6081,0.034
4,0.069,VISUAL_ATTACK,VISUAL_POST_CHECK,3.0532 -0.4261 9.5805,3.1334 -0.4410 9.6081,3.1334 -0.4410 9.6081,0.034
4,0.075,VISUAL_POST_CHECK,VISUAL_CHECK_MIC,3.0532 -0.4261 9.1117,3.0532 -0.4261 9.0805,3.1334 -0.4410 9.6081,0.034
4,0.077,VISUAL_CHECK_MIC,VISUAL_DETECT,3.0532 -0.4261 9.1117,,3.1334 -0.4410 9.6081,0.034
4,0.079,VISUAL_DETECT,VISUAL_ATTACK,3.0532 -0.4261 9.1117,,5.1549 -0.9056 8.6552,0.034
4,0.087,VISUAL_ATTACK,VISUAL_POST_CHECK,5.0892 -0.8906 8.6695,5.1549 -0.9056 8.6552,5.1549 -0.9056 8.6552,0.034
4,0.093,VISUAL_POST_CHECK,VISUAL_CHECK_MIC,5.0892 -0.8906 8.2007,5.0892 -0.8906 8.1695,5.1549 -0.9056 8.6552,0.034
4,0.094,VISUAL_CHECK_MIC,SURFACE,5.0892 -0.8906 8.2007,,5.1549 -0.9056 8.6552,0.034
4,0.105,SURFACE,RETURN_HOME,5.0892 -0.8906 4.2320,5.0892 -0.8906 4.2007,5.1549 -0.9056 8.6552,0.034
4,0.107,RETURN_HOME,DONE,5.0892 -0.8906 4.2320,,5.1549 -0.9056 8.6552,0.034
5,0,,INIT,,,,
5,0.021,INIT,DESCEND_TO_7M,,,,
5,0.032,DESCEND_TO_7M,SEARCH_HYDROPHONE,0.0000 0.0000 6.9746,0.0000 0.0000 7.0000,,
5,0.034,SEARCH_HYDROPHONE,HOLD_TARGET,0.0000 0.0000 6.9746,,2.6048 -0.5715 11.2041,0.034
5,0.036,HOLD_TARGET,HYDRO_DIVE,0.0000 0.0000 6.9746,,2.6048 -0.5715 11.2041,0.034
5,0.045,HYDRO_DIVE,HYDRO_APPROACH,0.0000 0.0000 9.4355,0.0000 0.0000 9.4746,2.6048 -0.5715 11.2041,0.034
5,0.054,HYDRO_APPROACH,HYDRO_NEAR_SURFACE,2.5641 -0.5626 11.1765,2.6048 -0.5715 11.2041,2.6048 -0.5715 11.2041,0.034
5,0.06,HYDRO_NEAR_SURFACE,HYDRO_CHECK_MIC,2.5641 -0.5626 10.7077,2.5641 -0.5626 10.6765,2.6048 -0.5715 11.2041,0.034
5,0.061,HYDRO_CHECK_MIC,HOLD_TARGET,2.5641 -0.5626 10.7077,,2.6048 -0.5715 11.2041,0.034
5,0.063,HOLD_TARGET,HYDRO_DIVE,2.5641 -0.5626 10.7077,,2.6048 -0.5715 11.2041,0.034
5,0.073,HYDRO_DIVE,HYDRO_APPROACH,2.5641 -0.5626 13.1686,2.5641 -0.5626 13.2077,2.6048 -0.5715 11.2041,0.034
5,0.082,HYDRO_APPROACH,HYDRO_NEAR_SURFACE,2.6041 -0.5714 11.2348,2.6048 -0.5715 11.2041,2.6048 -0.5715 11.2041,0.034
5,0.088,HYDRO_NEAR_SURFACE,HYDRO_CHECK_MIC,2.6041 -0.5714 10.7660,2.6041 -0.5714 10.7348,2.6048 -0.5715 11.2041,0.034
5,0.09,HYDRO_CHECK_MIC,HOLD_TARGET,2.6041 -0.5714 10.7660,,2.6048 -0.5715 11.2041,0.034
5,0.091,HOLD_TARGET,HYDRO_DIVE,2.6041 -0.5714 10.7660,,2.6048 -0.5715 11.2041,0.034
5,0.101,HYDRO_DIVE,HYDRO_APPROACH,2.6041 -0.5714 13.2270,2.6041 -0.5714 13.2660,2.6048 -0.5715 11.2041,0.034
5,0.11,HYDRO_APPROACH,HYDRO_NEAR_SURFACE,2.6048 -0.5715 11.2357,2.6048 -0.5715 11.2041,2.6048 -0.5715 11.2041,0.034
5,0.117,HYDRO_NEAR_SURFACE,HYDRO_CHECK_MIC,2.6048 -0.5715 10.7669,2.6048 -0.5715 10.7357,2.6048 -0.5715 11.2041,0.034
5,0.118,HYDRO_CHECK_MIC,HOLD_TARGET,2.6048 -0.5715 10.7669,,2.6048 -0.5715 11.2041,0.034
5,0.12,HOLD_TARGET,HYDRO_DIVE,2.6048 -0.5715 10.7669,,2.6048 -0.5715 11.2041,0.034
5,0.129,HYDRO_DIVE,HYDRO_APPROACH,2.6048 -0.5715 13.2279,2.6048 -0.5715 13.2669,2.6048 -0.5715 11.2041,0.034
5,0.139,HYDRO_APPROACH,HYDRO_NEAR_SURFACE,2.6048 -0.5715 11.2357,2.6048 -0.5715 11.2041,2.6048 -0.5715 11.2041,0.034
5,0.145,HYDRO_NEAR_SURFACE,HYDRO_CHECK_MIC,2.6048 -0.5715 10.7670,2.6048 -0.5715 10.7357,2.6048 -0.5715 11.2041,0.034
5,0.146,HYDRO_CHECK_MIC,HOLD_TARGET,2.6048 -0.5715 10.7670,,2.6048 -0.5715 11.2041,0.034
5,0.148,HOLD_TARGET,HYDRO_DIVE,2.6048 -0.5715 10.7670,,2.6048 -0.5715 11.2041,0.034
5,0.156,HYDRO_DIVE,HYDRO_APPROACH,2.6048 -0.5715 13.2279,2.6048 -0.5715 13.2670,2.6048 -0.5715 11.2041,0.034
5,0.165,HYDRO_APPROACH,HYDRO_NEAR_SURFACE,2.6048 -0.5715 11.2357,2.6048 -0.5715 11.2041,2.6048 -0.5715 11.2041,0.034
5,0.171,HYDRO_NEAR_SURFACE,HYDRO_CHECK_MIC,2.6048 -0.5715 10.7670,2.6048 -0.5715 10.7357,2.6048 -0.5715 11.2041,0.034
5,0.172,HYDRO_CHECK_MIC,SURFACE,2.6048 -0.5715 10.7670,,2.6048 -0.5715 11.2041,0.034
5,0.183,SURFACE,RETURN_HOME,2.6048 -0.5715 6.7982,2.6048 -0.5715 6.7670,2.6048 -0.5715 11.2041,0.034
5,0.185,RETURN_HOME,DONE,2.6048 -0.5715 6.7982,,2.6048 -0.5715 11.2041,0.034
6,0,,INIT,,,,
6,0.021,INIT,DESCEND_TO_7M,,,,
6,0.035,DESCEND_TO_7M,SEARCH_HYDROPHONE,0.0000 0.0000 6.9746,0.0000 0.0000 7.0000,,
6,0.036,SEARCH_HYDROPHONE,HOLD_TARGET,0.0000 0.0000 6.9746,,-3.0028 -0.7074 10.9094,0.036
6,0.038,HOLD_TARGET,HYDRO_DIVE,0.0000 0.0000 6.9746,,-3.0028 -0.7074 10.9094,0.036
6,0.048,HYDRO_DIVE,HYDRO_APPROACH,0.0000 0.0000 9.4355,0.0000 0.0000 9.4746,-3.0028 -0.7074 10.9094,0.036
6,0.055,HYDRO_APPROACH,HYDRO_NEAR_SURFACE,-2.9090 -0.6853 10.8633,-3.0028 -0.7074 10.9094,-3.0028 -0.7074 10.9094,0.036
6,0.063,HYDRO_NEAR_SURFACE,HYDRO_CHECK_MIC,-2.9090 -0.6853 10.3946,-2.9090 -0.6853 10.3633,-3.0028 -0.7074 10.9094,0.036
6,0.064,HYDRO_CHECK_MIC,HOLD_TARGET,-2.9090 -0.6853 10.3946,,-3.0028 -0.7074 10.9094,0.036
6,0.066,HOLD_TARGET,HYDRO_DIVE,-2.9090 -0.6853 10.3946,,-3.0028 -0.7074 10.9094,0.036
6,0.076,HYDRO_DIVE,HYDRO_APPROACH,-2.9090 -0.6853 12.8555,-2.9090 -0.6853 12.8946,-3.0028 -0.7074 10.9094,0.036
6,0.086,HYDRO_APPROACH,HYDRO_NEAR_SURFACE,-3.0014 -0.7071 10.9398,-3.0028 -0.7074 10.9094,-3.0028 -0.7074 10.9094,0.036
6,0.091,HYDRO_NEAR_SURFACE,HYDRO_CHECK_MIC,-3.0014 -0.7071 10.4711,-3.0014 -0.7071 10.4398,-3.0028 -0.7074 10.9094,0.036
6,0.093,HYDRO_CHECK_MIC,HOLD_TARGET,-3.0014 -0.7071 10.4711,,-3.0028 -0.7074 10.9094,0.036
6,0.095,HOLD_TARGET,HYDRO_DIVE,-3.0014 -0.7071 10.4711,,-3.0028 -0.7074 10.9094,0.036
6,0.105,HYDRO_DIVE,HYDRO_APPROACH,-3.0014 -0.7071 12.9320,-3.0014 -0.7071 12.9711,-3.0028 -0.7074 10.9094,0.036
6,0.114,HYDRO_APPROACH,HYDRO_NEAR_SURFACE,-3.0028 -0.7074 10.9410,-3.0028 -0.7074 10.9094,-3.0028 -0.7074 10.9094,0.036
6,0.12,HYDRO_NEAR_SURFACE,HYDRO_CHECK_MIC,-3.0028 -0.7074 10.4723,-3.0028 -0.7074 10.4410,-3.0028 -0.7074 10.9094,0.036
6,0.121,HYDRO_CHECK_MIC,HOLD_TARGET,-3.0028 -0.7074 10.4723,,-3.0028 -0.7074 10.9094,0.036
6,0.122,HOLD_TARGET,HYDRO_DIVE,-3.0028 -0.7074 10.4723,,-3.0028 -0.7074 10.9094,0.036
6,0.131,HYDRO_DIVE,HYDRO_APPROACH,-3.0028 -0.7074 12.9332,-3.0028 -0.7074 12.9723,-3.0028 -0.7074 10.9094,0.036
6,0.143,HYDRO_APPROACH,HYDRO_NEAR_SURFACE,-3.0028 -0.7074 10.9410,-3.0028 -0.7074 10.9094,-3.0028 -0.7074 10.9094,0.036
6,0.149,HYDRO_NEAR_SURFACE,HYDRO_CHECK_MIC,-3.0028 -0.7074 10.4723,-3.0028 -0.7074 10.4410,-3.0028 -0.7074 10.9094,0.036
6,0.15,HYDRO_CHECK_MIC,SURFACE,-3.0028 -0.7074 10.4723,,-3.0028 -0.7074 10.9094,0.036
6,0.162,SURFACE,RETURN_HOME,-3.0028 -0.7074 6.5035,-3.0028 -0.7074 6.4723,-3.0028 -0.7074 10.9094,0.036
6,0.164,RETURN_HOME,DONE,-3.0028 -0.7074 6.5035,,-3.0028 -0.7074 10.9094,0.036
7,0,,INIT,,,,
7,0.021,INIT,DESCEND_TO_7M,,,,
7,0.034,DESCEND_TO_7M,SEARCH_HYDROPHONE,0.0000 0.0000 6.9746,0.0000 0.0000 7.0000,,
7,0.036,SEARCH_HYDROPHONE,VISUAL_DIVE,0.0000 0.0000 6.9746,,-2.7157 -1.3291 10.9569,0.036
7,0.045,VISUAL_DIVE,VISUAL_CHECK_MIC,0.0000 0.0000 9.4355,0.0000 0.0000 9.4746,-2.7157 -1.3291 10.9569,0.036
7,0.047,VISUAL_CHECK_MIC,VISUAL_DETECT,0.0000 0.0000 9.4355,,-2.7157 -1.3291 10.9569,0.036
7,0.053,VISUAL_DETECT,VISUAL_ATTACK,0.0000 0.0000 9.4355,,1.5613 0.6537 8.6832,0.036
7,0.06,VISUAL_ATTACK,VISUAL_POST_CHECK,1.5125 0.6333 8.7067,1.5613 0.6537 8.6832,1.5613 0.6537 8.6832,0.036
7,0.068,VISUAL_POST_CHECK,VISUAL_CHECK_MIC,1.5125 0.6333 8.2379,1.5125 0.6333 8.2067,1.5613 0.6537 8.6832,0.036
7,0.069,VISUAL_CHECK_MIC,VISUAL_DETECT,1.5125 0.6333 8.2379,,1.5613 0.6537 8.6832,0.036
7,0.071,VISUAL_DETECT,VISUAL_ATTACK,1.5125 0.6333 8.2379,,3.5811 1.5287 8.3921,0.036
7,0.079,VISUAL_ATTACK,VISUAL_POST_CHECK,3.5164 1.5007 8.3873,3.5811 1.5287 8.3921,3.5811 1.5287 8.3921,0.036
7,0.086,VISUAL_POST_CHECK,VISUAL_CHECK_MIC,3.5164 1.5007 7.9186,3.5164 1.5007 7.8873,3.5811 1.5287 8.3921,0.036
7,0.088,VISUAL_CHECK_MIC,VISUAL_DETECT,3.5164 1.5007 7.9186,,3.5811 1.5287 8.3921,0.036
7,0.09,VISUAL_DETECT,VISUAL_ATTACK,3.5164 1.5007 7.9186,,6.4571 0.5939 8.6355,0.036
7,0.097,VISUAL_ATTACK,VISUAL_POST_CHECK,6.3652 0.6222 8.6131,6.4571 0.5939 8.6355,6.4571 0.5939 8.6355,0.036
7,0.104,VISUAL_POST_CHECK,VISUAL_CHECK_MIC,6.3652 0.6222 8.1443,6.3652 0.6222 8.1131,6.4571 0.5939 8.6355,0.036
7,0.105,VISUAL_CHECK_MIC,SURFACE,6.3652 0.6222 8.1443,,6.4571 0.5939 8.6355,0.036
7,0.116,SURFACE,RETURN_HOME,6.3652 0.6222 4.1756,6.3652 0.6222 4.1443,6.4571 0.5939 8.6355,0.036
7,0.118,RETURN_HOME,DONE,6.3652 0.6222 4.1756,,6.4571 0.5939 8.6355,0.036
8,0,,INIT,,,,
8,0.021,INIT,DESCEND_TO_7M,,,,
8,0.034,DESCEND_TO_7M,SEARCH_HYDROPHONE,0.0000 0.0000 6.9746,0.0000 0.0000 7.0000,,
8,0.035,SEARCH_HYDROPHONE,VISUAL_DIVE,0.0000 0.0000 6.9746,,-2.6591 -0.7505 11.1419,0.035
8,0.045,VISUAL_DIVE,VISUAL_CHECK_MIC,0.0000 0.0000 9.4355,0.0000 0.0000 9.4746,-2.6591 -0.7505 11.1419,0.035
8,0.046,VISUAL_CHECK_MIC,VISUAL_DETECT,0.0000 0.0000 9.4355,,-2.6591 -0.7505 11.1419,0.035
8,0.055,VISUAL_DETECT,VISUAL_ATTACK,0.0000 0.0000 9.4355,,2.3150 0.3259 8.6299,0.035
8,0.063,VISUAL_ATTACK,VISUAL_POST_CHECK,2.2427 0.3157 8.6551,2.3150 0.3259 8.6299,2.3150 0.3259 8.6299,0.035
8,0.068,VISUAL_POST_CHECK,VISUAL_CHECK_MIC,2.2427 0.3157 8.1863,2.2427 0.3157 8.1551,2.3150 0.3259 8.6299,0.035
8,0.07,VISUAL_CHECK_MIC,SURFACE,2.2427 0.3157 8.1863,,2.3150 0.3259 8.6299,0.035
8,0.081,SURFACE,RETURN_HOME,2.2427 0.3157 4.2176,2.2427 0.3157 4.1863,2.3150 0.3259 8.6299,0.035
8,0.083,RETURN_HOME,DONE,2.2427 0.3157 4.2176,,2.3150 0.3259 8.6299,0.035
9,0,,INIT,,,,
9,0.02,INIT,DESCEND_TO_7M,,,,
9,0.033,DESCEND_TO_7M,SEARCH_HYDROPHONE,0.0000 0.0000 6.9746,0.0000 0.0000 7.0000,,
9,0.035,SEARCH_HYDROPHONE,VISUAL_DIVE,0.0000 0.0000 6.9746,,-1.8261 2.0308 11.1628,0.035
9,0.044,VISUAL_DIVE,VISUAL_CHECK_MIC,0.0000 0.0000 9.4355,0.0000 0.0000 9.4746,-1.8261 2.0308 11.1628,0.035
9,0.045,VISUAL_CHECK_MIC,VISUAL_DETECT,0.0000 0.0000 9.4355,,-1.8261 2.0308 11.1628,0.035
9,0.051,VISUAL_DETECT,VISUAL_ATTACK,0.0000 0.0000 9.4355,,1.0950 -0.7781 9.4481,0.035
9,0.058,VISUAL_ATTACK,VISUAL_POST_CHECK,1.0266 -0.7295 9.4473,1.0950 -0.7781 9.4481,1.0950 -0.7781 9.4481,0.035
9,0.064,VISUAL_POST_CHECK,VISUAL_CHECK_MIC,1.0266 -0.7295 8.9786,1.0266 -0.7295 8.9473,1.0950 -0.7781 9.4481,0.035
9,0.066,VISUAL_CHECK_MIC,VISUAL_DETECT,1.0266 -0.7295 8.9786,,1.0950 -0.7781 9.4481,0.035
9,0.067,VISUAL_DETECT,VISUAL_ATTACK,1.0266 -0.7295 8.9786,,3.0027 -0.1811 8.7459,0.035
9,0.074,VISUAL_ATTACK,VISUAL_POST_CHECK,2.9409 -0.1982 8.7532,3.0027 -0.1811 8.7459,3.0027 -0.1811 8.7459,0.035
